,name_long,name,path_left_read,path_right_read,region,location,latitude,longitude,altitude
0,Sweden-Aspo.ASP01,ASP01,betula_pendula/40541_ID1242_239-ASP01-A003-G06_S1_L001_R1_001.fastq.gz,betula_pendula/40541_ID1242_239-ASP01-A003-G06_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
1,Sweden-Aspo.ASP02,ASP02,betula_pendula/40821_ID1242_123-ASP02-A002-C04_S1_L001_R1_001.fastq.gz,betula_pendula/40821_ID1242_123-ASP02-A002-C04_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
2,Sweden-Aspo.ASP03,ASP03,betula_pendula/40597_ID1242_295-ASP03-A004-G01_S1_L001_R1_001.fastq.gz,betula_pendula/40597_ID1242_295-ASP03-A004-G01_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
3,Sweden-Aspo.ASP04,ASP04,betula_pendula/40515_ID1242_213-ASP04-A003-E03_S1_L001_R1_001.fastq.gz,betula_pendula/40515_ID1242_213-ASP04-A003-E03_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
4,Sweden-Aspo.ASP05,ASP05,betula_pendula/40519_ID1242_217-ASP05-A003-A04_S1_L001_R1_001.fastq.gz,betula_pendula/40519_ID1242_217-ASP05-A003-A04_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
5,Sweden-Aspo.ASP06,ASP06,betula_pendula/40880_ID1242_182-ASP06-A002-F11_S1_L001_R1_001.fastq.gz,betula_pendula/40880_ID1242_182-ASP06-A002-F11_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
6,Sweden-Aspo.ASP07,ASP07,betula_pendula/40780_ID1242_82-ASP07-A001-B11_S1_L001_R1_001.fastq.gz,betula_pendula/40780_ID1242_82-ASP07-A001-B11_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
7,Sweden-Aspo.ASP08,ASP08,betula_pendula/40587_ID1242_285-ASP08-A003-E12_S1_L001_R1_001.fastq.gz,betula_pendula/40587_ID1242_285-ASP08-A003-E12_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
8,Sweden-Aspo.ASP09,ASP09,betula_pendula/40542_ID1242_240-ASP09-A003-H06_S1_L001_R1_001.fastq.gz,betula_pendula/40542_ID1242_240-ASP09-A003-H06_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
9,Sweden-Aspo.ASP10,ASP10,betula_pendula/40567_ID1242_265-ASP10-A003-A10_S1_L001_R1_001.fastq.gz,betula_pendula/40567_ID1242_265-ASP10-A003-A10_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
10,Sweden-Aspo.ASP11,ASP11,betula_pendula/40534_ID1242_232-ASP11-A003-H05_S1_L001_R1_001.fastq.gz,betula_pendula/40534_ID1242_232-ASP11-A003-H05_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
11,Sweden-Aspo.ASP12,ASP12,betula_pendula/40506_ID1242_204-ASP12-A003-D02_S1_L001_R1_001.fastq.gz,betula_pendula/40506_ID1242_204-ASP12-A003-D02_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
12,Sweden-Aspo.ASP13,ASP13,betula_pendula/40844_ID1242_146-ASP13-A002-B07_S1_L001_R1_001.fastq.gz,betula_pendula/40844_ID1242_146-ASP13-A002-B07_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
13,Sweden-Aspo.ASP14,ASP14,betula_pendula/40554_ID1242_252-ASP14-A003-D08_S1_L001_R1_001.fastq.gz,betula_pendula/40554_ID1242_252-ASP14-A003-D08_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
14,Sweden-Aspo.ASP15,ASP15,betula_pendula/40884_ID1242_186-ASP15-A002-B12_S1_L001_R1_001.fastq.gz,betula_pendula/40884_ID1242_186-ASP15-A002-B12_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
15,Sweden-Aspo.ASP16,ASP16,betula_pendula/40754_ID1242_56-ASP16-A001-H07_S1_L001_R1_001.fastq.gz,betula_pendula/40754_ID1242_56-ASP16-A001-H07_S1_L001_R2_001.fastq.gz,Sweden,Aspo,59.48,17.0,30
